e, f, group, score, freq, n, avgDeadEnemies, avgAliveFriends, avgAlive
5,  0, silent, 5, 31, 11, 0.394716, 0.000000, 0.082681
5,  0, silent, 6, 2, 11, 0.033716, 0.000000, 0.006743
5,  0, g1, 0, 44, 11, 0.000000, 0.000000, 0.000000
5,  0, g1, 1, 412, 11, 0.352328, 0.000000, 0.312982
5,  0, g1, 2, 878, 11, 1.136705, 0.000000, 0.863295
5,  0, g1, 3, 478, 11, 1.735169, 0.000000, 0.748663
5,  0, g1, 4, 128, 11, 1.342616, 0.000000, 0.402206
5,  0, g1, 5, 38, 11, 0.425871, 0.000000, 0.087953
5,  0, g1, 6, 22, 11, 0.122580, 0.000000, 0.024516
5,  0, g2, 0, 99, 11, 0.000000, 0.000000, 0.000000
5,  0, g2, 1, 357, 11, 0.410163, 0.000000, 0.403480
5,  0, g2, 2, 732, 11, 1.122998, 0.000000, 0.877002
5,  0, g2, 3, 581, 11, 1.903390, 0.000000, 0.745493
5,  0, g2, 4, 175, 11, 0.830975, 0.000000, 0.239388
5,  0, g2, 5, 49, 11, 0.325134, 0.000000, 0.070938
5,  0, g2, 6, 7, 11, 0.051975, 0.000000, 0.010395
5,  0, g3, 0, 141, 11, 0.000000, 0.000000, 0.000000
5,  0, g3, 1, 452, 11, 0.318506, 0.000000, 0.413017
5,  0, g3, 2, 821, 11, 1.171105, 0.000000, 0.828895
5,  0, g3, 3, 448, 11, 1.695692, 0.000000, 0.711779
5,  0, g3, 4, 100, 11, 0.890715, 0.000000, 0.272952
5,  0, g3, 5, 35, 11, 0.384648, 0.000000, 0.095420
5,  0, g3, 6, 3, 11, 0.137680, 0.000000, 0.027536
5,  0, g4, 0, 27, 11, 0.000000, 0.000000, 0.000000
5,  0, g4, 1, 383, 11, 0.491716, 0.000000, 0.346382
5,  0, g4, 2, 836, 11, 1.147718, 0.000000, 0.852282
5,  0, g4, 3, 532, 11, 1.733175, 0.000000, 0.785662
5,  0, g4, 4, 190, 11, 1.438502, 0.000000, 0.439079
5,  0, g4, 5, 28, 11, 0.107096, 0.000000, 0.024168
5,  0, g4, 6, 4, 11, 0.042967, 0.000000, 0.008593
5,  0, g5, 0, 84, 11, 0.000000, 0.000000, 0.000000
5,  0, g5, 1, 311, 11, 0.504045, 0.000000, 0.394424
5,  0, g5, 2, 798, 11, 1.091594, 0.000000, 0.798049
5,  0, g5, 3, 612, 11, 1.669968, 0.000000, 0.743382
5,  0, g5, 4, 157, 11, 1.030428, 0.000000, 0.304427
5,  0, g5, 5, 28, 11, 0.155806, 0.000000, 0.021627
5,  0, g5, 6, 10, 11, 0.098175, 0.000000, 0.019635
5,  0, g6, 0, 54, 11, 0.000000, 0.000000, 0.000000
5,  0, g6, 1, 373, 11, 0.428104, 0.000000, 0.395696
5,  0, g6, 2, 792, 11, 1.122574, 0.000000, 0.782601
5,  0, g6, 3, 566, 11, 2.069246, 0.000000, 0.930754
5,  0, g6, 4, 176, 11, 1.368750, 0.000000, 0.386671
5,  0, g6, 5, 37, 11, 0.339641, 0.000000, 0.077079
5,  0, g6, 6, 2, 11, 0.175885, 0.000000, 0.035177
5,  0, g7, 0, 98, 11, 0.000000, 0.000000, 0.000000
5,  0, g7, 1, 378, 11, 0.312773, 0.000000, 0.378955
5,  0, g7, 2, 775, 11, 1.169936, 0.000000, 0.830064
5,  0, g7, 3, 537, 11, 1.953414, 0.000000, 0.866358
5,  0, g7, 4, 164, 11, 1.212810, 0.000000, 0.367363
5,  0, g7, 5, 41, 11, 0.343214, 0.000000, 0.068292
5,  0, g7, 6, 7, 11, 0.060953, 0.000000, 0.012191
5,  0, g8, 0, 65, 11, 0.000000, 0.000000, 0.000000
5,  0, g8, 1, 376, 11, 0.393832, 0.000000, 0.443263
5,  0, g8, 2, 870, 11, 1.143973, 0.000000, 0.856027
5,  0, g8, 3, 507, 11, 1.734589, 0.000000, 0.721601
5,  0, g8, 4, 159, 11, 0.792728, 0.000000, 0.206402
5,  0, g8, 5, 20, 11, 0.443131, 0.000000, 0.108988
5,  0, g8, 6, 3, 11, 0.024747, 0.000000, 0.004949
5,  0, g9, 0, 46, 11, 0.000000, 0.000000, 0.000000
5,  0, g9, 1, 352, 11, 0.404865, 0.000000, 0.302522
5,  0, g9, 2, 793, 11, 1.127073, 0.000000, 0.872927
5,  0, g9, 3, 581, 11, 1.938993, 0.000000, 0.852083
5,  0, g9, 4, 176, 11, 1.442254, 0.000000, 0.423783
5,  0, g9, 5, 41, 11, 0.286627, 0.000000, 0.070002
5,  0, g9, 6, 11, 11, 0.125002, 0.000000, 0.025000
6,  0, dumb, 0, 511, 11, 0.000000, 0.000000, 0.000000
6,  0, dumb, 1, 893, 11, 0.554878, 0.000000, 0.183775
6,  0, dumb, 2, 410, 11, 1.201464, 0.000000, 0.798536
6,  0, dumb, 3, 134, 11, 1.728110, 0.000000, 0.749421
6,  0, dumb, 4, 33, 11, 1.246952, 0.000000, 0.371538
6,  0, dumb, 5, 13, 11, 0.584810, 0.000000, 0.111327
6,  0, dumb, 6, 6, 11, 0.218428, 0.000000, 0.041565
6,  0, dumb, 7, 0, 11, 0.342344, 0.000000, 0.057057
6,  0, silent, 0, 32, 11, 0.000000, 0.000000, 0.000000
6,  0, silent, 1, 223, 11, 0.597893, 0.000000, 0.402107
6,  0, silent, 2, 772, 11, 1.069303, 0.000000, 0.729817
6,  0, silent, 3, 628, 11, 1.985651, 0.000000, 0.821589
6,  0, silent, 4, 257, 11, 1.536654, 0.000000, 0.404292
6,  0, silent, 5, 69, 11, 0.653884, 0.000000, 0.127613
6,  0, silent, 6, 16, 11, 0.076768, 0.000000, 0.015354
6,  0, silent, 7, 3, 11, 0.120000, 0.000000, 0.020000
6,  0, g1, 0, 49, 11, 0.000000, 0.000000, 0.000000
6,  0, g1, 1, 283, 11, 0.316980, 0.000000, 0.227643
6,  0, g1, 2, 754, 11, 1.164325, 0.000000, 0.835675
6,  0, g1, 3, 613, 11, 1.680220, 0.000000, 0.722645
6,  0, g1, 4, 207, 11, 1.451333, 0.000000, 0.410262
6,  0, g1, 5, 72, 11, 0.896089, 0.000000, 0.149812
6,  0, g1, 6, 13, 11, 0.232855, 0.000000, 0.046571
6,  0, g1, 7, 9, 11, 0.011552, 0.000000, 0.001925
6,  0, g2, 0, 72, 11, 0.000000, 0.000000, 0.000000
6,  0, g2, 1, 271, 11, 0.360421, 0.000000, 0.215849
6,  0, g2, 2, 710, 11, 1.119949, 0.000000, 0.736874
6,  0, g2, 3, 615, 11, 2.068691, 0.000000, 0.931309
6,  0, g2, 4, 230, 11, 1.516521, 0.000000, 0.443050
6,  0, g2, 5, 82, 11, 0.369406, 0.000000, 0.086698
6,  0, g2, 6, 17, 11, 0.284404, 0.000000, 0.056881
6,  0, g2, 7, 3, 11, 0.387974, 0.000000, 0.064662
6,  0, g3, 0, 126, 11, 0.000000, 0.000000, 0.000000
6,  0, g3, 1, 408, 11, 0.633006, 0.000000, 0.366994
6,  0, g3, 2, 728, 11, 1.039404, 0.000000, 0.709665
6,  0, g3, 3, 564, 11, 1.874153, 0.000000, 0.825782
6,  0, g3, 4, 124, 11, 1.202853, 0.000000, 0.295228
6,  0, g3, 5, 28, 11, 0.479027, 0.000000, 0.091572
6,  0, g3, 6, 16, 11, 0.364722, 0.000000, 0.071458
6,  0, g3, 7, 6, 11, 0.060969, 0.000000, 0.010161
6,  0, g4, 0, 29, 11, 0.000000, 0.000000, 0.000000
6,  0, g4, 1, 218, 11, 0.394143, 0.000000, 0.287515
6,  0, g4, 2, 739, 11, 1.141197, 0.000000, 0.782733
6,  0, g4, 3, 653, 11, 2.086913, 0.000000, 0.913087
6,  0, g4, 4, 266, 11, 1.366155, 0.000000, 0.394640
6,  0, g4, 5, 77, 11, 0.760109, 0.000000, 0.093895
6,  0, g4, 6, 16, 11, 0.158551, 0.000000, 0.022990
6,  0, g4, 7, 2, 11, 0.051254, 0.000000, 0.008542
6,  0, g5, 0, 49, 11, 0.000000, 0.000000, 0.000000
6,  0, g5, 1, 231, 11, 0.349639, 0.000000, 0.410722
6,  0, g5, 2, 723, 11, 1.084029, 0.000000, 0.744200
6,  0, g5, 3, 682, 11, 1.913243, 0.000000, 0.806110
6,  0, g5, 4, 240, 11, 3.068919, 0.000000, 0.931081
6,  0, g5, 5, 58, 11, 0.634144, 0.000000, 0.143595
6,  0, g5, 6, 9, 11, 0.143007, 0.000000, 0.027119
6,  0, g5, 7, 8, 11, 0.086608, 0.000000, 0.014435
6,  0, g6, 0, 44, 11, 0.000000, 0.000000, 0.000000
6,  0, g6, 1, 230, 11, 0.826489, 0.000000, 0.173511
6,  0, g6, 2, 718, 11, 1.102581, 0.000000, 0.812707
6,  0, g6, 3, 650, 11, 1.778375, 0.000000, 0.770680
6,  0, g6, 4, 263, 11, 1.237153, 0.000000, 0.362823
6,  0, g6, 5, 84, 11, 1.637565, 0.000000, 0.390953
6,  0, g6, 6, 10, 11, 0.210472, 0.000000, 0.042094
6,  0, g6, 7, 1, 11, 0.351856, 0.000000, 0.058643
6,  0, g7, 0, 60, 11, 0.000000, 0.000000, 0.000000
6,  0, g7, 1, 254, 11, 0.542008, 0.000000, 0.184453
6,  0, g7, 2, 679, 11, 1.076316, 0.000000, 0.732326
6,  0, g7, 3, 675, 11, 2.099239, 0.000000, 0.900761
6,  0, g7, 4, 236, 11, 1.269018, 0.000000, 0.376501
6,  0, g7, 5, 81, 11, 0.971902, 0.000000, 0.175676
6,  0, g7, 6, 11, 11, 0.198687, 0.000000, 0.039096
6,  0, g7, 7, 4, 11, 0.054026, 0.000000, 0.009004
6,  0, g8, 0, 41, 11, 0.000000, 0.000000, 0.000000
6,  0, g8, 1, 257, 11, 0.318008, 0.000000, 0.335212
6,  0, g8, 2, 759, 11, 1.126016, 0.000000, 0.778618
6,  0, g8, 3, 631, 11, 2.090424, 0.000000, 0.909576
6,  0, g8, 4, 248, 11, 1.726685, 0.000000, 0.517837
6,  0, g8, 5, 55, 11, 0.667442, 0.000000, 0.144361
6,  0, g8, 6, 8, 11, 0.079914, 0.000000, 0.015983
6,  0, g8, 7, 1, 11, 0.010845, 0.000000, 0.001807
6,  0, g9, 0, 28, 11, 0.000000, 0.000000, 0.000000
6,  0, g9, 1, 235, 11, 0.479438, 0.000000, 0.207807
6,  0, g9, 2, 727, 11, 1.155036, 0.000000, 0.803256
6,  0, g9, 3, 660, 11, 2.134594, 0.000000, 0.865406
